ID,duration,mix_wav,mix_wav_format,mix_wav_opts,s1_wav,s1_wav_format,s1_wav_opts,s2_wav,s2_wav_format,s2_wav_opts,noise_wav,noise_wav_format,noise_wav_opts
10,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1737-142397-0034_3699-175950-0012.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1737-142397-0034_3699-175950-0012.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1737-142397-0034_3699-175950-0012.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1737-142397-0034_3699-175950-0012.wav,wav,
11,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1898-145724-0014_248-130697-0024.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1898-145724-0014_248-130697-0024.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1898-145724-0014_248-130697-0024.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1898-145724-0014_248-130697-0024.wav,wav,
12,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/19-198-0004_7078-271888-0077.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/19-198-0004_7078-271888-0077.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/19-198-0004_7078-271888-0077.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/19-198-0004_7078-271888-0077.wav,wav,
13,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1926-147987-0016_2384-152900-0006.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1926-147987-0016_2384-152900-0006.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1926-147987-0016_2384-152900-0006.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1926-147987-0016_2384-152900-0006.wav,wav,
14,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1992-141719-0039_4898-28461-0038.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1992-141719-0039_4898-28461-0038.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1992-141719-0039_4898-28461-0038.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1992-141719-0039_4898-28461-0038.wav,wav,
15,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2007-149877-0047_2092-145706-0058.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2007-149877-0047_2092-145706-0058.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2007-149877-0047_2092-145706-0058.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2007-149877-0047_2092-145706-0058.wav,wav,
16,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/201-127786-0081_4898-28461-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/201-127786-0081_4898-28461-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/201-127786-0081_4898-28461-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/201-127786-0081_4898-28461-0022.wav,wav,
17,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2159-179157-0014_1034-121119-0069.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2159-179157-0014_1034-121119-0069.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2159-179157-0014_1034-121119-0069.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2159-179157-0014_1034-121119-0069.wav,wav,
18,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2196-174172-0018_5652-19215-0000.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2196-174172-0018_5652-19215-0000.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2196-174172-0018_5652-19215-0000.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2196-174172-0018_5652-19215-0000.wav,wav,
19,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/233-134440-0020_1867-154075-0031.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/233-134440-0020_1867-154075-0031.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/233-134440-0020_1867-154075-0031.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/233-134440-0020_1867-154075-0031.wav,wav,
20,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/233-155990-0029_1867-154075-0039.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/233-155990-0029_1867-154075-0039.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/233-155990-0029_1867-154075-0039.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/233-155990-0029_1867-154075-0039.wav,wav,
21,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/233-155990-0043_2989-138028-0065.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/233-155990-0043_2989-138028-0065.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/233-155990-0043_2989-138028-0065.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/233-155990-0043_2989-138028-0065.wav,wav,
22,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2416-152137-0003_2691-156755-0025.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2416-152137-0003_2691-156755-0025.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2416-152137-0003_2691-156755-0025.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2416-152137-0003_2691-156755-0025.wav,wav,
23,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2436-2481-0018_2691-156745-0006.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2436-2481-0018_2691-156745-0006.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2436-2481-0018_2691-156745-0006.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2436-2481-0018_2691-156745-0006.wav,wav,
24,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/250-142276-0057_4481-17499-0019.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/250-142276-0057_4481-17499-0019.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/250-142276-0057_4481-17499-0019.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/250-142276-0057_4481-17499-0019.wav,wav,
25,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/27-123349-0053_2518-154825-0014.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/27-123349-0053_2518-154825-0014.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/27-123349-0053_2518-154825-0014.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/27-123349-0053_2518-154825-0014.wav,wav,
26,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2764-36616-0005_1235-135883-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2764-36616-0005_1235-135883-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2764-36616-0005_1235-135883-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2764-36616-0005_1235-135883-0022.wav,wav,
27,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2764-36619-0040_1355-39947-0030.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2764-36619-0040_1355-39947-0030.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2764-36619-0040_1355-39947-0030.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2764-36619-0040_1355-39947-0030.wav,wav,
28,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2817-142371-0020_5393-19218-0035.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2817-142371-0020_5393-19218-0035.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2817-142371-0020_5393-19218-0035.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2817-142371-0020_5393-19218-0035.wav,wav,
29,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2893-139322-0048_8609-283227-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2893-139322-0048_8609-283227-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2893-139322-0048_8609-283227-0022.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2893-139322-0048_8609-283227-0022.wav,wav,
30,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2989-138035-0040_5778-54535-0010.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2989-138035-0040_5778-54535-0010.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2989-138035-0040_5778-54535-0010.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2989-138035-0040_5778-54535-0010.wav,wav,
31,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/302-123516-0024_3214-167607-0021.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/302-123516-0024_3214-167607-0021.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/302-123516-0024_3214-167607-0021.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/302-123516-0024_3214-167607-0021.wav,wav,
32,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3112-9555-0076_3699-175950-0016.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3112-9555-0076_3699-175950-0016.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3112-9555-0076_3699-175950-0016.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3112-9555-0076_3699-175950-0016.wav,wav,
33,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3112-9555-0087_4088-158077-0036.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3112-9555-0087_4088-158077-0036.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3112-9555-0087_4088-158077-0036.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3112-9555-0087_4088-158077-0036.wav,wav,
34,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3168-173564-0020_7511-102420-0021.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3168-173564-0020_7511-102420-0021.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3168-173564-0020_7511-102420-0021.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3168-173564-0020_7511-102420-0021.wav,wav,
35,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3240-131231-0073_3857-180923-0013.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3240-131231-0073_3857-180923-0013.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3240-131231-0073_3857-180923-0013.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3240-131231-0073_3857-180923-0013.wav,wav,
36,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/328-129766-0021_6563-63821-0027.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/328-129766-0021_6563-63821-0027.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/328-129766-0021_6563-63821-0027.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/328-129766-0021_6563-63821-0027.wav,wav,
37,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3526-176653-0001_4362-15663-0082.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3526-176653-0001_4362-15663-0082.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3526-176653-0001_4362-15663-0082.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3526-176653-0001_4362-15663-0082.wav,wav,
38,1.0,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3607-135982-0037_460-172359-0038.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3607-135982-0037_460-172359-0038.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3607-135982-0037_460-172359-0038.wav,wav,,D:/Document/SDH/XuLyTinHieuSoNangCao/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3607-135982-0037_460-172359-0038.wav,wav,
