ID,duration,mix_wav,mix_wav_format,mix_wav_opts,s1_wav,s1_wav_format,s1_wav_opts,s2_wav,s2_wav_format,s2_wav_opts,noise_wav,noise_wav_format,noise_wav_opts
12,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/163-122947-0040_87-121553-0002.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/163-122947-0040_87-121553-0002.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/163-122947-0040_87-121553-0002.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/163-122947-0040_87-121553-0002.wav,wav,
13,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1743-142912-0003_298-126790-0024.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1743-142912-0003_298-126790-0024.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1743-142912-0003_298-126790-0024.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1743-142912-0003_298-126790-0024.wav,wav,
14,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1841-179183-0013_1034-121119-0081.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1841-179183-0013_1034-121119-0081.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1841-179183-0013_1034-121119-0081.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1841-179183-0013_1034-121119-0081.wav,wav,
15,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1898-145715-0003_163-122947-0022.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1898-145715-0003_163-122947-0022.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1898-145715-0003_163-122947-0022.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1898-145715-0003_163-122947-0022.wav,wav,
16,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/196-122150-0027_3240-131232-0011.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/196-122150-0027_3240-131232-0011.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/196-122150-0027_3240-131232-0011.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/196-122150-0027_3240-131232-0011.wav,wav,
17,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1970-10594-0037_8425-292520-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1970-10594-0037_8425-292520-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1970-10594-0037_8425-292520-0021.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1970-10594-0037_8425-292520-0021.wav,wav,
18,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/1970-28415-0026_2843-152918-0097.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/1970-28415-0026_2843-152918-0097.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/1970-28415-0026_2843-152918-0097.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/1970-28415-0026_2843-152918-0097.wav,wav,
19,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/198-129977-0010_4397-15668-0007.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/198-129977-0010_4397-15668-0007.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/198-129977-0010_4397-15668-0007.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/198-129977-0010_4397-15668-0007.wav,wav,
20,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/198-209-0036_1081-125237-0100.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/198-209-0036_1081-125237-0100.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/198-209-0036_1081-125237-0100.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/198-209-0036_1081-125237-0100.wav,wav,
21,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2007-149877-0047_2092-145706-0058.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2007-149877-0047_2092-145706-0058.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2007-149877-0047_2092-145706-0058.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2007-149877-0047_2092-145706-0058.wav,wav,
22,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/201-127786-0012_5463-39174-0040.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/201-127786-0012_5463-39174-0040.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/201-127786-0012_5463-39174-0040.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/201-127786-0012_5463-39174-0040.wav,wav,
23,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2136-5140-0028_7505-258964-0048.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2136-5140-0028_7505-258964-0048.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2136-5140-0028_7505-258964-0048.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2136-5140-0028_7505-258964-0048.wav,wav,
24,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2136-5143-0025_201-122255-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2136-5143-0025_201-122255-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2136-5143-0025_201-122255-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2136-5143-0025_201-122255-0016.wav,wav,
25,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2182-150130-0020_7178-34644-0029.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2182-150130-0020_7178-34644-0029.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2182-150130-0020_7178-34644-0029.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2182-150130-0020_7178-34644-0029.wav,wav,
26,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2289-152253-0014_1594-135914-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2289-152253-0014_1594-135914-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2289-152253-0014_1594-135914-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2289-152253-0014_1594-135914-0006.wav,wav,
27,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/233-155990-0027_6415-116629-0010.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/233-155990-0027_6415-116629-0010.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/233-155990-0027_6415-116629-0010.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/233-155990-0027_6415-116629-0010.wav,wav,
28,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2436-2481-0007_229-130880-0039.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2436-2481-0007_229-130880-0039.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2436-2481-0007_229-130880-0039.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2436-2481-0007_229-130880-0039.wav,wav,
29,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/248-130644-0022_3168-173565-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/248-130644-0022_3168-173565-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/248-130644-0022_3168-173565-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/248-130644-0022_3168-173565-0016.wav,wav,
30,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2514-149482-0060_3240-131231-0047.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2514-149482-0060_3240-131231-0047.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2514-149482-0060_3240-131231-0047.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2514-149482-0060_3240-131231-0047.wav,wav,
31,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2764-36619-0027_8975-270782-0040.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2764-36619-0027_8975-270782-0040.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2764-36619-0027_8975-270782-0040.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2764-36619-0027_8975-270782-0040.wav,wav,
32,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2843-152918-0086_2196-170379-0032.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2843-152918-0086_2196-170379-0032.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2843-152918-0086_2196-170379-0032.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2843-152918-0086_2196-170379-0032.wav,wav,
33,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/2910-131096-0037_4014-186175-0036.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/2910-131096-0037_4014-186175-0036.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/2910-131096-0037_4014-186175-0036.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/2910-131096-0037_4014-186175-0036.wav,wav,
34,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/311-124404-0017_5339-14134-0074.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/311-124404-0017_5339-14134-0074.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/311-124404-0017_5339-14134-0074.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/311-124404-0017_5339-14134-0074.wav,wav,
35,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3168-173564-0035_3242-67168-0025.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3168-173564-0035_3242-67168-0025.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3168-173564-0035_3242-67168-0025.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3168-173564-0035_3242-67168-0025.wav,wav,
36,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/32-4137-0007_1235-135883-0037.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/32-4137-0007_1235-135883-0037.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/32-4137-0007_1235-135883-0037.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/32-4137-0007_1235-135883-0037.wav,wav,
37,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3214-167602-0022_229-130880-0000.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3214-167602-0022_229-130880-0000.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3214-167602-0022_229-130880-0000.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3214-167602-0022_229-130880-0000.wav,wav,
38,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3259-158083-0060_8468-294887-0029.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3259-158083-0060_8468-294887-0029.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3259-158083-0060_8468-294887-0029.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3259-158083-0060_8468-294887-0029.wav,wav,
39,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3526-175658-0027_1034-121119-0057.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3526-175658-0027_1034-121119-0057.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3526-175658-0027_1034-121119-0057.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3526-175658-0027_1034-121119-0057.wav,wav,
40,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3526-176651-0007_1455-138263-0038.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3526-176651-0007_1455-138263-0038.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3526-176651-0007_1455-138263-0038.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3526-176651-0007_1455-138263-0038.wav,wav,
41,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3607-135982-0051_7800-283492-0014.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3607-135982-0051_7800-283492-0014.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3607-135982-0051_7800-283492-0014.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3607-135982-0051_7800-283492-0014.wav,wav,
42,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3723-171115-0018_6563-63821-0003.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3723-171115-0018_6563-63821-0003.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3723-171115-0018_6563-63821-0003.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3723-171115-0018_6563-63821-0003.wav,wav,
43,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3807-4923-0012_1841-150351-0031.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3807-4923-0012_1841-150351-0031.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3807-4923-0012_1841-150351-0031.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3807-4923-0012_1841-150351-0031.wav,wav,
44,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3807-4923-0048_307-127539-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3807-4923-0048_307-127539-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3807-4923-0048_307-127539-0006.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3807-4923-0048_307-127539-0006.wav,wav,
45,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3983-5371-0015_669-129061-0080.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3983-5371-0015_669-129061-0080.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3983-5371-0015_669-129061-0080.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3983-5371-0015_669-129061-0080.wav,wav,
46,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/3983-5371-0033_6081-41997-0034.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/3983-5371-0033_6081-41997-0034.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/3983-5371-0033_6081-41997-0034.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/3983-5371-0033_6081-41997-0034.wav,wav,
47,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/4014-186183-0016_7148-82991-0035.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/4014-186183-0016_7148-82991-0035.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/4014-186183-0016_7148-82991-0035.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/4014-186183-0016_7148-82991-0035.wav,wav,
48,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/4018-103416-0010_1992-141719-0043.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/4018-103416-0010_1992-141719-0043.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/4018-103416-0010_1992-141719-0043.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/4018-103416-0010_1992-141719-0043.wav,wav,
49,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/4018-107338-0011_289-121665-0010.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/4018-107338-0011_289-121665-0010.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/4018-107338-0011_289-121665-0010.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/4018-107338-0011_289-121665-0010.wav,wav,
50,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/4051-10927-0017_3374-298032-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/4051-10927-0017_3374-298032-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/4051-10927-0017_3374-298032-0016.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/4051-10927-0017_3374-298032-0016.wav,wav,
51,1.0,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\mix_clean/4051-11218-0048_8580-287363-0026.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s1/4051-11218-0048_8580-287363-0026.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\s2/4051-11218-0048_8580-287363-0026.wav,wav,,../../../data/LibriMix/storage_dir/Libri2Mix\wav8k/min/train-100\noise/4051-11218-0048_8580-287363-0026.wav,wav,
